|# | Username | Score | Counts | Gets | Assists | Gets + Assists | Ks Participated |Days Participated |Gets Ratio |Assists Ratio |Combined Ratio
| 73 | /u/SecretAsianMa | 99398 | 21999 | 30 | 4 | 34 | 138 | 54 | 1.3637 | 0.1819 | 0.7728 | 
| 74 | /u/haykam821 | 94048 | 11824 | 22 | 8 | 30 | 185 | 92 | 1.8607 | 0.6766 | 1.2687 | 
| 75 | /u/SsPincus | 89026 | 1563 | 1 | 0 | 1 | 247 | 180 | 0.6398 | 0 | 0.3199 | 
| 76 | /u/iwannaplay5050 | 84154 | 11427 | 0 | 23 | 23 | 160 | 89 | 0 | 2.0128 | 1.0064 | 
| 77 | /u/Urbul | 80364 | 6732 | 12 | 3 | 15 | 170 | 127 | 1.7826 | 0.4457 | 1.1141 | 
| 78 | /u/Zaajdaeon | 79766 | 4183 | 5 | 1 | 6 | 192 | 150 | 1.1954 | 0.2391 | 0.7172 | 
| 79 | /u/lyeinfyer | 74688 | 11494 | 9 | 10 | 19 | 130 | 81 | 0.7831 | 0.8701 | 0.8266 | 
| 80 | /u/Fortnite_Skin_Leaker | 70430 | 11165 | 9 | 4 | 13 | 168 | 40 | 0.8061 | 0.3583 | 0.5822 | 
| 81 | /u/batpuppy | 65950 | 7875 | 26 | 4 | 30 | 116 | 60 | 3.3016 | 0.508 | 1.9048 | 
| 82 | /u/CarbonSpectre | 65346 | 6223 | 10 | 3 | 13 | 160 | 72 | 1.607 | 0.4821 | 1.0446 | 
| 83 | /u/GrunfTNT | 64798 | 7749 | 9 | 8 | 17 | 50 | 154 | 1.1615 | 1.0324 | 1.097 | 
| 84 | /u/count_worse | 64354 | 1077 | 5 | 1 | 6 | 195 | 101 | 4.6426 | 0.9286 | 2.7856 | 
| 85 | /u/MewDP | 60748 | 6924 | 12 | 1 | 13 | 122 | 80 | 1.7332 | 0.1445 | 0.9388 | 
| 86 | /u/teeravj | 58170 | 3435 | 5 | 0 | 5 | 144 | 100 | 1.4557 | 0 | 0.7279 | 
| 87 | /u/albert471 | 57464 | 8832 | 28 | 6 | 34 | 78 | 36 | 3.1703 | 0.6794 | 1.9249 | 
| 88 | /u/scottm3 | 54622 | 4161 | 3 | 6 | 9 | 114 | 95 | 0.721 | 1.442 | 1.0815 | 
| 89 | /u/funfact15 | 52236 | 13168 | 21 | 4 | 25 | 50 | 17 | 1.5948 | 0.3038 | 0.9493 | 
| 90 | /u/animatedtwig | 52078 | 5889 | 4 | 11 | 15 | 104 | 60 | 0.6793 | 1.8679 | 1.2736 | 
| 91 | /u/buy_me_a_pint | 51914 | 957 | 4 | 0 | 4 | 154 | 86 | 4.1798 | 0 | 2.0899 | 
| 92 | /u/Lifeofchrome | 50256 | 7278 | 9 | 10 | 19 | 95 | 36 | 1.2367 | 1.3741 | 1.3054 | 
| 93 | /u/_ntrpy | 49984 | 4842 | 11 | 6 | 17 | 102 | 57 | 2.2718 | 1.2392 | 1.7555 | 
| 94 | /u/WGJC8463 | 49006 | 3103 | 3 | 1 | 4 | 123 | 81 | 0.9669 | 0.3223 | 0.6446 | 
| 95 | /u/Luigi86101 | 48154 | 7927 | 18 | 3 | 21 | 74 | 35 | 2.2708 | 0.3785 | 1.3246 | 
| 96 | /u/888Nox | 46798 | 5049 | 9 | 8 | 17 | 90 | 51 | 1.7826 | 1.5845 | 1.6836 | 
| 97 | /u/Shady_live_counter | 46288 | 12594 | 20 | 5 | 25 | 37 | 6 | 1.5881 | 0.3971 | 0.9926 | 
| 98 | /u/SubSmartstocks | 46214 | 657 | 1 | 0 | 1 | 141 | 81 | 1.5221 | 0 | 0.7611 | 
| 99 | /u/NFSHaloSC2 | 46204 | 1852 | 8 | 5 | 13 | 107 | 73 | 4.3197 | 2.6998 | 3.5098 | 
| 100 | /u/thephilsblogbar | 42858 | 1179 | 7 | 0 | 7 | 131 | 54 | 5.9373 | 0 | 2.9687 | 
| 101 | /u/UnsuccessfulAtLife | 41834 | 1267 | 9 | 0 | 9 | 116 | 58 | 7.1034 | 0 | 3.5517 | 
| 102 | /u/DontCareILoveIt | 41464 | 7332 | 4 | 4 | 8 | 68 | 46 | 0.5456 | 0.5456 | 0.5456 | 
| 103 | /u/luc122c | 39548 | 274 | 0 | 0 | 0 | 105 | 90 | 0 | 0 | 0 | 
| 104 | /u/LeinadTeaspoon | 39428 | 6914 | 5 | 7 | 12 | 57 | 41 | 0.7232 | 1.0125 | 0.8679 | 
| 105 | /u/kdiuro13 | 39426 | 4163 | 9 | 2 | 11 | 86 | 42 | 2.162 | 0.4805 | 1.3212 | 
| 106 | /u/gordonpt888 | 38950 | 1675 | 2 | 2 | 4 | 88 | 80 | 1.1941 | 1.1941 | 1.1941 | 
| 107 | /u/xXnapa1mXx | 38852 | 7976 | 9 | 6 | 15 | 59 | 18 | 1.1284 | 0.7523 | 0.9404 | 
| 108 | /u/Kazoeru | 37480 | 8890 | 10 | 5 | 15 | 52 | 9 | 1.1249 | 0.5625 | 0.8437 | 
| 109 | /u/HourPartReminderBot | 37116 | 358 | 0 | 0 | 0 | 152 | 30 | 0 | 0 | 0 | 
| 110 | /u/orangey10 | 34892 | 5496 | 13 | 6 | 19 | 55 | 17 | 2.3654 | 1.0918 | 1.7286 | 
| 111 | /u/Moarbadass | 32290 | 4495 | 6 | 5 | 11 | 66 | 23 | 1.3349 | 1.1124 | 1.2236 | 
| 112 | /u/Chaoz_Sanctuary | 32218 | 1059 | 6 | 1 | 7 | 107 | 26 | 5.6658 | 0.9443 | 3.3051 | 
| 113 | /u/TheGlobeIsRound | 31358 | 5279 | 11 | 1 | 12 | 50 | 24 | 2.0838 | 0.1895 | 1.1366 | 
| 114 | /u/PostTheDamn887 | 30074 | 1987 | 0 | 3 | 3 | 69 | 54 | 0 | 1.5099 | 0.755 | 
| 115 | /u/Chalupa_Chad | 29910 | 3705 | 9 | 0 | 9 | 65 | 25 | 2.4292 | 0 | 1.2146 | 
| 116 | /u/bluesolid | 29496 | 2998 | 4 | 3 | 7 | 31 | 69 | 1.3343 | 1.0007 | 1.1675 | 
| 117 | /u/4FrSw | 28536 | 2118 | 2 | 1 | 3 | 80 | 34 | 0.9443 | 0.4722 | 0.7083 | 
| 118 | /u/Count-a-Saurus | 28468 | 2834 | 8 | 2 | 10 | 53 | 36 | 2.8229 | 0.7058 | 1.7643 | 
| 119 | /u/lurker_24 | 27316 | 1758 | 1 | 1 | 2 | 66 | 48 | 0.5689 | 0.5689 | 0.5689 | 
| 120 | /u/The_Necromancer10 | 26050 | 2625 | 3 | 1 | 4 | 58 | 36 | 1.1429 | 0.381 | 0.762 | 
| 121 | /u/Londadont | 26034 | 267 | 0 | 1 | 1 | 72 | 53 | 0 | 3.7454 | 1.8727 | 
| 122 | /u/Myoniora | 25946 | 523 | 0 | 1 | 1 | 61 | 61 | 0 | 1.9121 | 0.9561 | 
| 123 | /u/origamimissile | 24744 | 1322 | 1 | 0 | 1 | 63 | 45 | 0.7565 | 0 | 0.3783 | 
| 124 | /u/ralgrado | 23724 | 1062 | 3 | 3 | 6 | 53 | 40 | 2.8249 | 2.8249 | 2.8249 | 
| 125 | /u/-aRTy- | 23478 | 4339 | 6 | 6 | 12 | 38 | 6 | 1.3829 | 1.3829 | 1.3829 | 
| 126 | /u/c2h3o2_acetate | 23440 | 2420 | 3 | 1 | 4 | 49 | 34 | 1.2397 | 0.4133 | 0.8265 | 
| 127 | /u/shhx | 23208 | 2354 | 4 | 1 | 5 | 53 | 27 | 1.6993 | 0.4249 | 1.0621 | 
| 128 | /u/MouthNation | 23094 | 1347 | 2 | 0 | 2 | 45 | 52 | 1.4848 | 0 | 0.7424 | 
| 129 | /u/PhiDood | 22914 | 2507 | 4 | 3 | 7 | 48 | 24 | 1.5956 | 1.1967 | 1.3961 | 
| 130 | /u/TOP_0 | 22638 | 2819 | 0 | 0 | 0 | 61 | 24 | 0 | 0 | 0 | 
| 131 | /u/PM_ME_STOCK_PICS | 22532 | 3366 | 9 | 3 | 12 | 39 | 10 | 2.6738 | 0.8913 | 1.7826 | 
| 132 | /u/jandreiu | 22402 | 651 | 1 | 0 | 1 | 12 | 91 | 1.5361 | 0 | 0.7681 | 
| 133 | /u/couscous666 | 21334 | 1567 | 2 | 0 | 2 | 57 | 29 | 1.2764 | 0 | 0.6382 | 
| 134 | /u/Franz_Mueller | 21212 | 2206 | 7 | 1 | 8 | 43 | 21 | 3.1732 | 0.4534 | 1.8133 | 
| 135 | /u/livecounting | 21026 | 2213 | 8 | 0 | 8 | 36 | 27 | 3.6151 | 0 | 1.8076 | 
| 136 | /u/LeinadChopsticks | 20662 | 631 | 0 | 0 | 0 | 55 | 42 | 0 | 0 | 0 | 
| 137 | /u/kinetic37 | 20502 | 4201 | 6 | 3 | 9 | 25 | 13 | 1.4283 | 0.7142 | 1.0712 | 
| 138 | /u/What-Porque | 20156 | 978 | 3 | 1 | 4 | 51 | 30 | 3.0675 | 1.0225 | 2.045 | 
| 139 | /u/CantStopLookingAtMe | 19290 | 1195 | 9 | 2 | 11 | 38 | 19 | 7.5314 | 1.6737 | 4.6026 | 
| 140 | /u/TheBestNumberOfHats | 19020 | 2710 | 1 | 3 | 4 | 9 | 49 | 0.3691 | 1.1071 | 0.7381 | 
| 141 | /u/RandomRedditorWithNo | 18816 | 758 | 1 | 2 | 3 | 38 | 41 | 1.3193 | 2.6386 | 1.9789 | 
| 142 | /u/dylantherabbit2016 | 18716 | 2058 | 1 | 1 | 2 | 42 | 26 | 0.486 | 0.486 | 0.486 | 
| 143 | /u/ludrol | 18676 | 1888 | 2 | 1 | 3 | 45 | 22 | 1.0594 | 0.5297 | 0.7945 | 
| 144 | /u/bo3_borate | 18258 | 2929 | 3 | 3 | 6 | 30 | 17 | 1.0243 | 1.0243 | 1.0243 | 
| 145 | /u/Retro28 | 18232 | 2116 | 5 | 1 | 6 | 42 | 13 | 2.363 | 0.4726 | 1.4178 | 
| 146 | /u/thetiredlemur | 18038 | 5069 | 5 | 2 | 7 | 17 | 5 | 0.9864 | 0.3946 | 0.6905 | 
| 147 | /u/candcshow | 17840 | 1870 | 6 | 1 | 7 | 32 | 21 | 3.2086 | 0.5348 | 1.8717 | 
| 148 | /u/ElliottB1 | 17594 | 447 | 3 | 0 | 3 | 46 | 30 | 6.7115 | 0 | 3.3558 | 
| 149 | /u/asdfghpoop | 17346 | 1273 | 1 | 1 | 2 | 41 | 28 | 0.7856 | 0.7856 | 0.7856 | 
| 150 | /u/overdrafts | 17336 | 468 | 0 | 0 | 0 | 49 | 33 | 0 | 0 | 0 | 
| 151 | /u/SassyFacts | 17224 | 1162 | 1 | 2 | 3 | 39 | 28 | 0.8606 | 1.7212 | 1.2909 | 
| 152 | /u/srmpass | 17020 | 2760 | 1 | 0 | 1 | 32 | 23 | 0.3624 | 0 | 0.1812 | 
| 153 | /u/HiddenMafia | 17016 | 2608 | 8 | 0 | 8 | 29 | 10 | 3.0675 | 0 | 1.5338 | 
| 154 | /u/Shado5172 | 16728 | 2564 | 4 | 2 | 6 | 35 | 8 | 1.5601 | 0.7801 | 1.1701 | 
| 155 | /u/pixiestar1 | 16612 | 3706 | 4 | 4 | 8 | 18 | 8 | 1.0794 | 1.0794 | 1.0794 | 
| 156 | /u/ExSeaD | 16532 | 3266 | 4 | 0 | 4 | 18 | 22 | 1.2248 | 0 | 0.6124 | 
| 157 | /u/10CountsADay | 16172 | 2836 | 0 | 1 | 1 | 31 | 19 | 0 | 0.3527 | 0.1764 | 
| 158 | /u/eddebbboi | 16056 | 1478 | 3 | 2 | 5 | 33 | 20 | 2.0298 | 1.3532 | 1.6915 | 
| 159 | /u/thegreatestminer | 16002 | 3901 | 3 | 1 | 4 | 22 | 9 | 0.7691 | 0.2564 | 0.5127 | 
| 160 | /u/nomaur2 | 15804 | 1452 | 3 | 0 | 3 | 34 | 23 | 2.0662 | 0 | 1.0331 | 
| 161 | /u/darrensoap | 15468 | 834 | 1 | 1 | 2 | 32 | 32 | 1.1991 | 1.1991 | 1.1991 | 
| 162 | /u/wokiloki | 15232 | 2066 | 4 | 1 | 5 | 27 | 16 | 1.9362 | 0.4841 | 1.2101 | 
| 163 | /u/parkerpale | 15226 | 3663 | 7 | 0 | 7 | 15 | 7 | 1.9111 | 0 | 0.9556 | 
| 164 | /u/AngryLispingSloth | 15062 | 1481 | 0 | 1 | 1 | 31 | 27 | 0 | 0.6753 | 0.3377 | 
| 165 | /u/sbb618 | 14970 | 1035 | 2 | 1 | 3 | 34 | 23 | 1.9324 | 0.9662 | 1.4493 | 
| 166 | /u/VitaminG420 | 14864 | 2932 | 3 | 3 | 6 | 18 | 12 | 1.0232 | 1.0232 | 1.0232 | 
| 167 | /u/Blackwind123 | 14858 | 1229 | 2 | 0 | 2 | 32 | 25 | 1.6274 | 0 | 0.8137 | 
| 168 | /u/ryan2222 | 14468 | 2934 | 4 | 2 | 6 | 16 | 12 | 1.3634 | 0.6817 | 1.0225 | 
| 169 | /u/FelipePlayz9 | 14152 | 1176 | 3 | 1 | 4 | 28 | 21 | 2.5511 | 0.8504 | 1.7007 | 
| 170 | /u/qualw | 14090 | 1045 | 3 | 1 | 4 | 29 | 21 | 2.8709 | 0.957 | 1.9139 | 
| 171 | /u/_unbreakmyheart_ | 14074 | 3237 | 6 | 0 | 6 | 15 | 8 | 1.8536 | 0 | 0.9268 | 
| 172 | /u/NubCaeks | 14004 | 2452 | 3 | 2 | 5 | 19 | 14 | 1.2235 | 0.8157 | 1.0196 | 
| 173 | /u/yakobski | 13972 | 1786 | 4 | 0 | 4 | 26 | 16 | 2.2397 | 0 | 1.1199 | 
| 174 | /u/EndCountingDrama2019 | 13852 | 3426 | 8 | 0 | 8 | 12 | 3 | 2.3351 | 0 | 1.1676 | 
| 175 | /u/absolutelynotduorg | 13756 | 1428 | 1 | 2 | 3 | 28 | 19 | 0.7003 | 1.4006 | 1.0505 | 
| 176 | /u/r_livecounting | 13580 | 2090 | 1 | 3 | 4 | 22 | 15 | 0.4785 | 1.4355 | 0.957 | 
| 177 | /u/hardyer | 13556 | 2978 | 6 | 0 | 6 | 15 | 8 | 2.0148 | 0 | 1.0074 | 
| 178 | /u/username111112222233 | 13464 | 882 | 0 | 1 | 1 | 30 | 26 | 0 | 1.1338 | 0.5669 | 
| 179 | /u/APackOfSmarties | 13452 | 2576 | 7 | 0 | 7 | 19 | 5 | 2.7174 | 0 | 1.3587 | 
| 180 | /u/80sFan02 | 13304 | 2402 | 3 | 0 | 3 | 23 | 12 | 1.249 | 0 | 0.6245 | 
| 181 | /u/amazingpiakchu_38 | 13174 | 1387 | 2 | 0 | 2 | 27 | 20 | 1.442 | 0 | 0.721 | 
| 182 | /u/JustSomeSmallQs | 13164 | 1432 | 1 | 2 | 3 | 26 | 18 | 0.6984 | 1.3967 | 1.0475 | 
| 183 | /u/geogeo3 | 13134 | 2517 | 4 | 1 | 5 | 17 | 11 | 1.5892 | 0.3973 | 0.9933 | 
| 184 | /u/nlfn | 13080 | 2990 | 3 | 2 | 5 | 16 | 7 | 1.0034 | 0.6689 | 0.8362 | 
| 185 | /u/Adinida | 13056 | 1128 | 2 | 0 | 2 | 32 | 17 | 1.7731 | 0 | 0.8866 | 
| 186 | /u/stalkcm | 12946 | 1573 | 2 | 0 | 2 | 25 | 19 | 1.2715 | 0 | 0.6358 | 
| 187 | /u/Chalupa_Godfather | 12938 | 1419 | 3 | 0 | 3 | 33 | 10 | 2.1142 | 0 | 1.0571 | 
| 188 | /u/overturned-rock | 12902 | 251 | 1 | 1 | 2 | 35 | 22 | 3.9841 | 3.9841 | 3.9841 | 
| 189 | /u/wiley107 | 12860 | 1730 | 3 | 1 | 4 | 24 | 13 | 1.7342 | 0.5781 | 1.1561 | 
| 190 | /u/TOP_27 | 12822 | 1711 | 0 | 0 | 0 | 27 | 20 | 0 | 0 | 0 | 
| 191 | /u/Diggydiggywatwat | 12788 | 1494 | 6 | 0 | 6 | 22 | 12 | 4.0161 | 0 | 2.0081 | 
| 192 | /u/howtoaddict | 12780 | 340 | 1 | 0 | 1 | 33 | 25 | 2.9412 | 0 | 1.4706 | 
| 193 | /u/Chalupa_Dab | 12708 | 654 | 1 | 1 | 2 | 31 | 21 | 1.5291 | 1.5291 | 1.5291 | 
| 194 | /u/prmcd16 | 12428 | 1514 | 4 | 0 | 4 | 22 | 15 | 2.6421 | 0 | 1.3211 | 
| 195 | /u/xMrlMyCckTrtBf | 12286 | 2443 | 5 | 1 | 6 | 14 | 8 | 2.0467 | 0.4094 | 1.228 | 
| 196 | /u/DavetheDave_ | 12264 | 482 | 4 | 1 | 5 | 32 | 12 | 8.2988 | 2.0747 | 5.1868 | 
| 197 | /u/zhige | 12194 | 1147 | 1 | 0 | 1 | 23 | 24 | 0.8719 | 0 | 0.436 | 
| 198 | /u/Periodist | 12000 | 900 | 2 | 2 | 4 | 27 | 14 | 2.2223 | 2.2223 | 2.2223 | 
| 199 | /u/StanRichson | 11912 | 956 | 0 | 2 | 2 | 30 | 15 | 0 | 2.0921 | 1.0461 | 
| 200 | /u/ViperLordX | 11862 | 831 | 2 | 0 | 2 | 28 | 18 | 2.4068 | 0 | 1.2034 | 
